Step;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r2 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r0 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r1 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r3 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r4 - train/loss;DA-GCN_mean;DA-GCN_std
0;0.70921767;0.6969936;0.68736913;0.68448235;0.69224025;0.6940606;0.009723317
1;0.42796788;0.43115335;0.41759771;0.43450824;0.43449946;0.429145328;0.007003456
2;0.34765624;0.34610554;0.34075655;0.34790084;0.34855163;0.34619416;0.003169525
3;0.32723797;0.32030546;0.32232068;0.3260742;0.3259239;0.324372442;0.002926787
4;0.31634791;0.30749667;0.30775704;0.30772005;0.31372747;0.310609828;0.004148079
5;0.30783681;0.30510252;0.30149217;0.30626758;0.30562403;0.305264622;0.002345683
6;0.29933323;0.30102962;0.29957684;0.29943374;0.29859807;0.2995943;0.00088697
7;0.29125823;0.29524729;0.29233333;0.29640943;0.29208473;0.293466602;0.002230576
8;0.28736411;0.28970177;0.28543404;0.28976283;0.28934852;0.288322254;0.001890196
9;0.28343152;0.28508649;0.28456582;0.29181573;0.28510972;0.286001856;0.003320533
10;0.28131011;0.28289667;0.28022944;0.28394952;0.28013516;0.28170418;0.001677465
11;0.27811465;0.27940209;0.27959507;0.27946872;0.27952951;0.279222008;0.000623151
12;0.27653005;0.27752555;0.27585764;0.27854213;0.27701347;0.277093768;0.00101691
13;0.27573234;0.28691424;0.27648854;0.27827474;0.27297201;0.278076374;0.005296637
14;0.27142148;0.27764856;0.27500386;0.27539843;0.27060042;0.27401455;0.002935991
15;0.26892656;0.2778029;0.27340366;0.2741652;0.26692315;0.272244294;0.004337454
16;0.26826029;0.27573485;0.26967157;0.27093679;0.26537977;0.269996654;0.003815986
17;0.26649431;0.27328929;0.26999258;0.27123233;0.26273563;0.268748828;0.004170489
18;0.26508267;0.27009676;0.26502545;0.26736749;0.26261134;0.266036742;0.002824933
19;0.26430647;0.26726994;0.26938751;0.26503083;0.25888824;0.264976598;0.00394448
20;0.26130889;0.26855613;0.26344465;0.26271204;0.25691644;0.26258763;0.004188392
21;0.25654597;0.26681378;0.26055066;0.260012;0.25299172;0.259382826;0.005144725
22;0.25522823;0.26291691;0.26038399;0.25677053;0.25227741;0.257515414;0.004202012
23;0.25169283;0.25986313;0.25597076;0.25524987;0.25215155;0.254985628;0.003305482
24;0.24896401;0.25687347;0.2567684;0.2532565;0.24765494;0.252703464;0.004292133
25;0.24758184;0.25518581;0.25409816;0.25027163;0.24615162;0.250657812;0.0039451
26;0.24889889;0.25344951;0.25253848;0.25008998;0.24858658;0.250712688;0.002180692
27;0.24549807;0.2513482;0.2495301;0.2465242;0.24600549;0.247781212;0.00253614
28;0.24307452;0.24979765;0.25045686;0.24527932;0.24183143;0.246087956;0.00389557
29;0.24253721;0.24523064;0.24901842;0.24094359;0.24008976;0.243563924;0.00362352
30;0.24220032;0.24543187;0.24591858;0.23913296;0.23823735;0.242184216;0.003513577
31;0.23925571;0.24278295;0.24586883;0.23970023;0.23763262;0.241048068;0.003276586
32;0.23698868;0.24132088;0.24339962;0.23905451;0.23414301;0.23898134;0.003618706
