Step;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;DA-SAGE_mean;DA-SAGE_std
0;0.69857583;0.67912577;0.68849118;0.68817699;0.68951465;0.688776884;0.006894729
1;0.44040143;0.41770775;0.41685857;0.42301154;0.41517713;0.422631284;0.010356791
2;0.35431079;0.35405611;0.34517701;0.35214234;0.3508447;0.35130619;0.003710413
3;0.33742195;0.33308708;0.32082379;0.33613336;0.33431187;0.33235561;0.006657403
4;0.31686759;0.3152982;0.30860896;0.31648905;0.31661798;0.314776356;0.003500259
5;0.30548177;0.30463875;0.29792956;0.30772768;0.3058771;0.304330972;0.003752508
6;0.29412;0.29408636;0.2933807;0.29781374;0.29362346;0.294604852;0.00182089
7;0.29126733;0.29121531;0.28487885;0.29119694;0.28832192;0.28937607;0.002811203
8;0.28543849;0.28586548;0.28074001;0.28644416;0.28585932;0.284869492;0.002336007
9;0.28335251;0.2818169;0.27848061;0.28156224;0.28009507;0.281061466;0.001848315
10;0.27914063;0.27881716;0.275633;0.28019829;0.27939991;0.278637798;0.001755689
11;0.27820495;0.27651259;0.27367145;0.27682649;0.27889542;0.27682218;0.002014531
12;0.27680116;0.27443412;0.27098177;0.27599914;0.2759361;0.274830458;0.002315244
13;0.27453221;0.27203063;0.27147693;0.27405651;0.27460992;0.27334124;0.001477576
14;0.27300392;0.27300648;0.27044261;0.27265488;0.27305307;0.272432192;0.001123632
15;0.27137269;0.27194892;0.26822533;0.27255036;0.27351918;0.271523296;0.002007413
16;0.26969195;0.26964301;0.26842739;0.27025944;0.27277585;0.270159528;0.001607859
17;0.2709675;0.26832952;0.26630958;0.26877948;0.2705963;0.268996476;0.001881203
18;0.26899916;0.26620197;0.26623415;0.26855086;0.26797661;0.26759255;0.00130608
19;0.26631439;0.26641543;0.26390241;0.2673266;0.26588184;0.265968134;0.001268864
20;0.26511138;0.26483978;0.2634105;0.26366552;0.26614365;0.264634166;0.001116265
21;0.26575452;0.26342374;0.26123336;0.26147224;0.26608649;0.26359407;0.002290405
22;0.26239736;0.26220031;0.25864158;0.2603097;0.26246046;0.261201882;0.001685317
23;0.261405;0.26031395;0.25868981;0.26093695;0.26311654;0.26089245;0.001612262
24;0.26262634;0.25925441;0.25833631;0.2563843;0.26082132;0.259484536;0.002379116
25;0.26031339;0.25702932;0.25630256;0.25846215;0.25972338;0.25836616;0.001709426
26;0.25956379;0.25843521;0.25638767;0.25454835;0.25861711;0.257510426;0.002020566
27;0.25867212;0.25685637;0.25347648;0.25331321;0.25926668;0.256316972;0.002812002
28;0.25876911;0.25512717;0.25425874;0.25295013;0.25746421;0.255713872;0.002371606
29;0.25674269;0.25462049;0.2526663;0.25407695;0.25424126;0.254469538;0.001470366
30;0.25425941;0.25350237;0.2544142;0.25159864;0.25340924;0.253436772;0.001119809
31;0.25396149;0.25436365;0.25082833;0.2458491;0.25443893;0.2518883;0.003692109
32;0.25380815;0.25094989;0.24902903;0.2487786;0.25209947;0.250933028;0.002115063
33;0.251274;0.24833093;0.24728192;0.24549514;0.25110786;0.24869797;0.002492064
34;0.25157238;0.25006574;0.24858481;0.24449461;0.24759084;0.248461676;0.002681447
35;0.24869881;0.24857679;0.24772462;0.24251632;0.24649483;0.246802274;0.002552469
36;0.24889802;0.24565933;0.24588786;0.24079418;0.24766356;0.24578059;0.003088464
37;0.24783284;0.24636115;0.24280031;0.23840885;0.24454586;0.243989802;0.003649087
38;0.24484918;0.24297021;0.24261722;0.23842428;0.24317831;0.24240784;0.002386557
39;0.24472683;0.24273535;0.24253486;0.23490263;0.2421413;0.241408194;0.003771733
40;0.24360595;0.24084358;0.2378912;0.23562574;0.23971801;0.239536896;0.003012594
41;0.24264245;0.23845552;0.2413301;0.2372956;0.23679583;0.2393039;0.002563924
42;0.239137;0.23819695;0.23767686;0.23263021;0.23458426;0.236445056;0.002731696
43;0.23671925;0.23728887;0.23851137;0.23207226;0.23215982;0.235350314;0.003022795
44;0.23457506;0.23571127;0.23408569;0.22936148;0.23127997;0.233002694;0.002608056
45;0.23280982;0.23234632;0.23281182;0.22771043;0.23042412;0.231220502;0.002195479
46;0.2339301;0.23340796;0.22871293;0.22732216;0.22954182;0.230582994;0.002932481
47;0.23201721;0.2308537;0.22863146;0.22430299;0.2276694;0.228694952;0.003001779
48;0.23241076;0.23122787;0.22805563;0.22256737;0.22579819;0.228011964;0.004007423
49;0.22809544;0.22972768;0.2253312;0.2234159;0.2258783;0.226489704;0.002461051
50;0.22794146;0.22853721;0.22557019;0.22268901;0.22122397;0.225192368;0.003197781
51;0.22381767;0.22723616;0.22619575;0.22127294;0.22023535;0.223751574;0.00302606
52;0.22329739;0.22441741;0.22173071;0.2178246;0.21889719;0.22123346;0.002816163
53;0.22277678;0.22481628;0.21951944;0.21723044;0.21874963;0.220618514;0.00310077
54;0.22128539;0.22686416;0.21802325;0.21642205;0.2149112;0.21950121;0.004746844
55;0.2163892;0.22257479;0.21609728;0.21618455;0.21460911;0.217170986;0.003102475
56;0.21943012;0.22079379;0.21603983;0.21230036;0.21179299;0.216071418;0.004065357
57;0.21371652;0.22056661;0.21239398;0.21107188;0.21031652;0.213613102;0.004097972
58;0.21336054;0.218036;0.21215567;0.21034991;0.21122834;0.213026092;0.003015068
59;0.2124711;0.21520429;0.21075133;0.20623261;0.20727095;0.210386056;0.003696323
