Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
0;0.69232602;0.69532738;0.69020193;0.6936081;0.69132083;0.692556852;0.001994219
1;0.39164877;0.38990532;0.38998763;0.38941624;0.39141076;0.390473744;0.00099202
2;0.3578364;0.35815921;0.35794117;0.35797974;0.35819531;0.358022366;0.000151351
3;0.35515211;0.35837765;0.35789991;0.35642873;0.35528076;0.356627832;0.001475809
4;0.34716246;0.35267677;0.35349348;0.34777364;0.34884979;0.349991228;0.002902603
5;0.33277943;0.34141558;0.33559592;0.33692616;0.33774823;0.336893064;0.003153971
6;0.30528748;0.32408025;0.32932336;0.32486048;0.33060179;0.322830672;0.010197922
7;0.29625673;0.31906425;0.31756935;0.29834854;0.33285149;0.312818072;0.01538321
8;0.29319146;0.30006553;0.30020815;0.28918562;0.29919359;0.29636887;0.004951753
9;0.28839773;0.29391315;0.29387303;0.2884865;0.29202687;0.291339456;0.00275266
10;0.28721008;0.29005048;0.28872971;0.28549206;0.28723856;0.287744178;0.001725054
11;0.28312154;0.28643285;0.28675517;0.28714161;0.28596586;0.285883406;0.001603094
12;0.28108979;0.28484991;0.28263864;0.28438803;0.28232521;0.283058316;0.001546497
13;0.27869364;0.2846024;0.27990765;0.28317279;0.28399433;0.282074162;0.002617619
14;0.27965624;0.28309115;0.27724369;0.28228922;0.28143721;0.280743502;0.002335206
15;0.27859144;0.28010538;0.2756962;0.28089908;0.28129189;0.279316798;0.002272737
16;0.27678367;0.27810797;0.27417252;0.27998216;0.27783401;0.277376066;0.002130186
17;0.27365497;0.27677087;0.27334408;0.28005434;0.2755408;0.275873012;0.002725584
18;0.27230871;0.27801503;0.27006391;0.27832428;0.27387413;0.274517212;0.003600397
19;0.27054508;0.27603873;0.26793926;0.27589515;0.27367833;0.27281931;0.003519602
20;0.27010011;0.27379482;0.26670267;0.27469389;0.27442389;0.271943076;0.003464417
21;0.26946026;0.27194697;0.2652073;0.27458485;0.27065163;0.270370202;0.003457319
22;0.26706075;0.27140886;0.26385385;0.27210233;0.26857162;0.268599482;0.003356041
23;0.26521623;0.26996057;0.26385544;0.27075747;0.26686116;0.267330174;0.002976065
24;0.2642996;0.26855252;0.26176708;0.27105907;0.26631134;0.266397922;0.0036133
25;0.26301541;0.26834837;0.2598137;0.26832687;0.26517476;0.264935822;0.003644376
26;0.26100319;0.26657042;0.26062338;0.26887216;0.26579602;0.264573034;0.003616327
27;0.26056427;0.26527486;0.26036422;0.26872887;0.2632372;0.263633884;0.003497223
28;0.25991838;0.26674874;0.25806948;0.2681643;0.26269542;0.263119264;0.004317149
29;0.2587391;0.26591715;0.25655446;0.26585795;0.26307619;0.26202897;0.004232883
30;0.25896302;0.26311272;0.2570734;0.26459396;0.26260202;0.261269024;0.003128586
31;0.2586391;0.261564;0.2558356;0.26435666;0.26067822;0.260214716;0.003195713
32;0.25610391;0.26258189;0.2547151;0.26317846;0.25962914;0.2592417;0.00377958
33;0.25436764;0.26139967;0.2542681;0.26197285;0.2592609;0.258253832;0.003732631
34;0.25496497;0.25880307;0.25226741;0.26168184;0.2577313;0.257089718;0.003612617
35;0.25380331;0.25942057;0.2520692;0.26012239;0.25645523;0.25637414;0.00348132
36;0.25173928;0.25698995;0.25033049;0.25908176;0.25657809;0.254943914;0.003725987
37;0.25071303;0.25647001;0.24884756;0.25732362;0.25442408;0.25355566;0.003663737
38;0.24819443;0.25587983;0.24952049;0.25642558;0.25356752;0.25271757;0.003713211
39;0.24880358;0.25367912;0.24768618;0.25720887;0.25529825;0.2525352;0.004129896
40;0.24742809;0.25485867;0.24795845;0.25450829;0.25245245;0.25144119;0.003547653
41;0.24565859;0.25319824;0.2464451;0.25519089;0.25217114;0.250532792;0.004241278
42;0.24559726;0.25285921;0.2460502;0.25387491;0.25154883;0.249986082;0.003891431
43;0.24345145;0.25163645;0.24356894;0.25249987;0.25160482;0.248552306;0.004616972
44;0.24348735;0.24979313;0.2440415;0.25151668;0.24979472;0.247726676;0.003689972
45;0.24162322;0.24880086;0.24391551;0.25038264;0.24870731;0.246685908;0.003725951
46;0.24050136;0.24825385;0.24203752;0.25013444;0.24712063;0.24560956;0.004141356
47;0.23789642;0.2491689;0.24209695;0.24817018;0.24746637;0.244959764;0.004806069
48;0.23868654;0.24681326;0.2398102;0.24885935;0.24812556;0.244458982;0.004829128
49;0.23745406;0.2470625;0.24035539;0.24658189;0.24584767;0.243460302;0.004305087
50;0.23596546;0.2445399;0.23786449;0.2461001;0.24591183;0.242076356;0.00479722
51;0.2365605;0.24466929;0.23641191;0.24477559;0.2437686;0.241237178;0.004354951
52;0.23336595;0.24291612;0.23716486;0.24253307;0.24307717;0.239811434;0.004366349
53;0.23296684;0.24160562;0.2372554;0.2437835;0.24133147;0.239388566;0.004295189
54;0.23109498;0.24173993;0.23509546;0.24312122;0.23963696;0.23813771;0.004972787
55;0.23054328;0.24214222;0.23336905;0.24062713;0.24133074;0.237602484;0.005277592
56;0.22997806;0.23836116;0.23239825;0.2394383;0.24034201;0.236103556;0.004621493
57;0.22932276;0.2385059;0.23208346;0.23834786;0.23730278;0.235112552;0.00416762
58;0.22653556;0.23661975;0.23090222;0.23870614;0.23783868;0.23412047;0.005219862
59;0.22630449;0.23762953;0.22936178;0.23716301;0.23648714;0.23338919;0.005201743
60;0.22387548;0.23573373;0.22957634;0.23598065;0.23606382;0.232246004;0.005428635
61;0.22403939;0.23376983;0.22716574;0.23582218;0.23497852;0.231155132;0.005238924
