Step;peptides-functional.custom_gnn.sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;peptides-functional.custom_gnn.sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;SAGE_mean;SAGE_std
0;0.69812599;0.70054572;0.69326592;0.68693289;0.69258989;0.694292082;0.005289495
1;0.534879;0.51464947;0.51028967;0.53697835;0.51924142;0.523207582;0.012059231
2;0.35860035;0.35872496;0.35838527;0.3586683;0.35810155;0.358496086;0.000255368
3;0.3578829;0.35811949;0.35810877;0.35799563;0.35843601;0.35810856;0.000206772
4;0.35815193;0.3588168;0.35804492;0.35770582;0.35802817;0.358149528;0.000408597
5;0.35798995;0.357921;0.35957121;0.35834053;0.35856621;0.35847778;0.00066525
6;0.35937284;0.35827897;0.35801603;0.35795923;0.35758759;0.358242932;0.000678129
7;0.35782329;0.35805824;0.3577813;0.35876797;0.35800745;0.35808765;0.000398079
8;0.35744862;0.35902862;0.3580758;0.35771187;0.35784246;0.358021474;0.00060691
9;0.35745376;0.35759478;0.35745768;0.35740727;0.3585119;0.357685078;0.000467489
10;0.3573116;0.3573503;0.35749636;0.35764627;0.35776723;0.357514352;0.000193452
11;0.3575072;0.35737439;0.35747307;0.35720572;0.35790494;0.357493064;0.000258308
12;0.35732538;0.35711096;0.35755651;0.35730022;0.35726973;0.35731256;0.000159926
13;0.35718213;0.3569869;0.35745895;0.35747711;0.35719558;0.357260134;0.000207072
14;0.3571477;0.33576354;0.35708562;0.34025458;0.35725515;0.349501318;0.010610601
15;0.35505599;0.32267105;0.35704296;0.33194103;0.35711796;0.344765798;0.016292983
16;0.35278238;0.31934996;0.3574339;0.32633487;0.35662419;0.34250506;0.018203551
17;0.3530464;0.31724597;0.35706787;0.32166435;0.35048916;0.33990275;0.018877486
18;0.35147415;0.31546582;0.35720618;0.32261065;0.33116113;0.335583586;0.018115092
19;0.35318188;0.31535277;0.35677674;0.31877918;0.32586378;0.33399087;0.019572395
20;0.35230408;0.3141024;0.35596863;0.31581571;0.32398543;0.33243525;0.020200819
21;0.35259884;0.31213342;0.33841043;0.31458129;0.32212469;0.327969734;0.017174143
22;0.35250262;0.31023844;0.31716863;0.31524994;0.32085413;0.323202752;0.016820594
23;0.35196741;0.30897315;0.30439973;0.3142026;0.32044621;0.31999782;0.018845981
24;0.35208792;0.30516595;0.30032999;0.31375898;0.31990077;0.318248722;0.020372888
25;0.35231264;0.30355452;0.29463665;0.31434584;0.31747828;0.316465586;0.021987088
26;0.3525059;0.30385999;0.29367024;0.31340975;0.31262513;0.315214202;0.022325381
27;0.3524715;0.30048617;0.2966425;0.31258213;0.31271639;0.314979738;0.02215187
28;0.35264249;0.29868811;0.29141063;0.31315268;0.31062138;0.313303058;0.023704852
29;0.3524771;0.29800324;0.29049885;0.31243483;0.30961918;0.31260664;0.023982398
30;0.35204013;0.29665963;0.2901046;0.31084062;0.31023374;0.311975744;0.024095686
31;0.35233217;0.29233706;0.28831202;0.3094945;0.31049835;0.31059482;0.025362844
32;0.35202107;0.29020509;0.28734006;0.30894402;0.30732001;0.30916605;0.025864559
33;0.33529409;0.28996821;0.28646831;0.30697626;0.30590591;0.304922556;0.019311955
34;0.32206213;0.28672231;0.28490008;0.30617913;0.30556242;0.301085214;0.015445678
35;0.3179262;0.28488983;0.28607488;0.30454395;0.30458783;0.299604538;0.014004362
36;0.31520708;0.28725736;0.28486516;0.303742;0.30307757;0.298829834;0.0126424
37;0.31308999;0.28153802;0.28419336;0.30293231;0.30369626;0.297089988;0.013619493
38;0.31163024;0.28123044;0.28639556;0.30105884;0.30108587;0.29628019;0.012306045
39;0.31179401;0.28165111;0.2845406;0.29480792;0.30092164;0.294743056;0.012292308
40;0.31055042;0.28261362;0.28319125;0.29461494;0.30078685;0.294351416;0.011897659
41;0.30813669;0.2818008;0.28224389;0.28905996;0.29983963;0.292216194;0.011505087
42;0.30558005;0.28167559;0.2817644;0.290499;0.29957014;0.291817836;0.01066739
43;0.30402398;0.27918512;0.28030743;0.2887712;0.29919219;0.290295984;0.011103466
44;0.30173351;0.27744998;0.28018513;0.28675792;0.29872182;0.288969672;0.01087179
45;0.30328864;0.2759728;0.28111022;0.28462856;0.2978421;0.288568464;0.011537796
46;0.29862373;0.27540647;0.27917594;0.28282254;0.29670457;0.28654665;0.010504037
47;0.2977618;0.27379091;0.27839129;0.28643954;0.29420913;0.286118534;0.010158827
48;0.29642381;0.27284349;0.27605363;0.28239026;0.29477283;0.284496804;0.010716513
49;0.29459265;0.27109402;0.27423349;0.28340339;0.29200191;0.283065092;0.010418367
50;0.29173003;0.27212315;0.27348113;0.28097738;0.28649744;0.280961826;0.008376761
51;0.290484;0.26962794;0.27122725;0.27852206;0.28420778;0.278813806;0.008765122
52;0.28904927;0.26844658;0.27177324;0.27677736;0.28397712;0.278004714;0.008505108
53;0.28912808;0.26706634;0.27146271;0.27561772;0.27990696;0.276636362;0.008457681
54;0.28801996;0.26603316;0.26980392;0.27505883;0.28006987;0.275797148;0.00865235
55;0.28522663;0.26703846;0.26927602;0.27362962;0.27412913;0.273859972;0.007015555
56;0.28444952;0.26515039;0.2680406;0.27472498;0.27410733;0.273294564;0.007434235
57;0.28291627;0.26529758;0.26990181;0.27212888;0.27267837;0.272584582;0.006466411
58;0.28397532;0.2680619;0.26738587;0.27030039;0.27093199;0.272131094;0.006785103
59;0.28220708;0.267038;0.26725471;0.26958207;0.27014032;0.271244436;0.006280408
60;0.28149589;0.26696506;0.26548939;0.26772412;0.26920918;0.270176728;0.0064684
61;0.27984044;0.26393348;0.26710282;0.26645977;0.2696275;0.269392802;0.00618181
62;0.28045568;0.26222517;0.26353378;0.26776264;0.26827742;0.268450938;0.007203408
63;0.27907814;0.26161079;0.26216139;0.2674639;0.26720036;0.267502916;0.007023673
64;0.2788543;0.26310317;0.26090342;0.26528487;0.26565064;0.26675928;0.007024078
65;0.27750945;0.26165203;0.26106089;0.26327736;0.26606816;0.265913578;0.006766594
66;0.27755385;0.25983263;0.26172005;0.26198648;0.26455905;0.265130412;0.007145797
67;0.27744127;0.2580464;0.25999773;0.26208762;0.26534245;0.264583094;0.007679366
68;0.27680988;0.25774718;0.26099621;0.26124184;0.26355359;0.26406974;0.00741613
69;0.27494064;0.25632036;0.25995729;0.26005744;0.26339433;0.262934012;0.007163221
70;0.2737231;0.25633178;0.25835705;0.25825519;0.26356153;0.26204573;0.007058371
71;0.27451018;0.26567589;0.25830922;0.25770256;0.26258981;0.263757532;0.006837578
72;0.27383806;0.26083874;0.25787999;0.25673089;0.26184267;0.26222607;0.006819007
73;0.27319944;0.25900511;0.25545989;0.25733449;0.26125812;0.26125141;0.007012227
74;0.27299193;0.25945336;0.25628859;0.25602324;0.26000387;0.260952198;0.006966794
75;0.27131165;0.25852875;0.25571827;0.25593073;0.26304363;0.260906606;0.00652235
76;0.27030804;0.25731174;0.25392198;0.25549953;0.26091163;0.259590584;0.006532074
77;0.27018918;0.25581531;0.25200091;0.2522861;0.26151316;0.258360932;0.007643259
78;0.26930678;0.25347196;0.25263958;0.25121198;0.25909569;0.257145198;0.007428069
79;0.2695627;0.25246336;0.25162925;0.25064163;0.25885572;0.256630532;0.007912609
80;0.26895584;0.25157277;0.25136051;0.2499862;0.25764546;0.255904156;0.007870934
81;0.26731877;0.25091346;0.25009598;0.25124515;0.25704881;0.255324434;0.007250372
82;0.26609172;0.2504706;0.2476309;0.25148324;0.25660994;0.25445728;0.007268634
83;0.26658459;0.24900164;0.24761559;0.2475553;0.2565826;0.253467944;0.008229592
84;0.2653038;0.24912061;0.24575367;0.24744141;0.25598481;0.25272086;0.008036788
85;0.26359659;0.24728024;0.24443463;0.24579357;0.25763592;0.25174819;0.008425529
86;0.26446802;0.24557201;0.24576652;0.24500024;0.25512415;0.251186188;0.008530421
87;0.26288684;0.24469219;0.24323548;0.24464274;0.25420647;0.249932744;0.008461298
88;0.26262903;0.24555861;0.24131975;0.24310896;0.25244698;0.249012666;0.008705818
89;0.26202487;0.24354593;0.2399873;0.24159967;0.25314018;0.24805959;0.009328813
90;0.26007852;0.24122385;0.24203426;0.24022489;0.25342842;0.247397988;0.008881229
91;0.25995296;0.24033522;0.24031567;0.24091635;0.2520191;0.24670786;0.008925443
92;0.2578991;0.23973767;0.24113132;0.24073243;0.25156151;0.246212406;0.008108044
93;0.25845437;0.23934888;0.23861016;0.23970694;0.2509378;0.24541163;0.008891176
94;0.25640071;0.23659537;0.23666097;0.24061278;0.25053254;0.244160474;0.008895028
95;0.25520424;0.23714778;0.23625539;0.23833664;0.2489828;0.24318537;0.008456517
96;0.25526702;0.23512061;0.23453981;0.23629578;0.24860728;0.2419661;0.009423147
97;0.25360624;0.23570108;0.23637994;0.23721435;0.2481648;0.242213282;0.00816465
98;0.25293304;0.23715243;0.23216884;0.23451222;0.2490963;0.241172566;0.009255851
99;0.25234524;0.23437975;0.23333107;0.23267132;0.2518309;0.240911656;0.010222413
100;0.25076701;0.23388749;0.23255765;0.23478661;0.24712791;0.239825334;0.00846336
101;0.25036287;0.23253109;0.23154812;0.2370504;0.2443264;0.239163776;0.008039426
102;0.25063151;0.23197952;0.2314561;0.23159129;0.24498573;0.23812883;0.009061082
103;0.2488266;0.23107171;0.22936463;0.2313497;0.24307097;0.236736722;0.008685447
104;0.24854058;0.22972058;0.22682631;0.22920268;0.24221985;0.235302;0.009530319
105;0.2474804;0.22757237;0.22640801;0.23138809;0.24263731;0.235097236;0.009435034
106;0.24845838;0.2248937;0.22505306;0.22813952;0.24305792;0.233920516;0.011049624
107;0.24841466;0.22536178;0.22203417;0.2285503;0.2406847;0.233009122;0.011124945
108;0.24547539;0.23006112;0.22403935;0.22716879;0.23848117;0.233045164;0.008783531
109;0.24505351;0.22822606;0.22814595;0.22649833;0.23871245;0.23332726;0.008154871
110;0.2439336;0.22432404;0.22310622;0.2239723;0.23922234;0.2309117;0.00988831
111;0.24315667;0.22066005;0.22031517;0.22327607;0.23792732;0.229067056;0.010698484
112;0.24464901;0.21977455;0.2201906;0.22299359;0.23563977;0.228649504;0.011035797
113;0.24406027;0.21863208;0.21910318;0.22032336;0.2344595;0.227315678;0.011436324
114;0.24199905;0.21564822;0.21861639;0.22093562;0.23489265;0.226418386;0.011418172
115;0.24218795;0.21844339;0.21875678;0.21949338;0.23168565;0.22611343;0.010561897
116;0.24220905;0.21554924;0.21514178;0.21806242;0.23324532;0.224841562;0.012233587
117;0.23979555;0.2156595;0.21523703;0.21783251;0.23026345;0.223757608;0.010872304
118;0.23885195;0.21559483;0.21236645;0.21798066;0.22913518;0.222785814;0.01097495
119;0.23811974;0.21181759;0.20908099;0.21599436;0.22862981;0.220728498;0.012271581
120;0.235445;0.21211987;0.20973984;0.21568578;0.22877571;0.22035324;0.011190588
121;0.23510734;0.21152572;0.20928406;0.2140519;0.22638195;0.219270194;0.011049011
122;0.23312065;0.20992237;0.21011757;0.21378489;0.2272876;0.218846616;0.010682436
123;0.23412099;0.20814431;0.20607978;0.21355096;0.22577953;0.217535114;0.012024423
124;0.23275613;0.20689002;0.204285;0.21198695;0.22745069;0.216673758;0.012707812
125;0.23237241;0.20662396;0.20465382;0.21063052;0.2224453;0.215345202;0.011757244
126;0.22979942;0.20537029;0.20520671;0.21002563;0.22361461;0.214803332;0.011251946
127;0.23384452;0.20355407;0.20061647;0.2075364;0.22168496;0.213447284;0.013976324
128;0.2288114;0.20243025;0.20378621;0.20734948;0.22086596;0.21264866;0.011616781
129;0.22736582;0.20351135;0.20181445;0.20667097;0.2204229;0.211957098;0.011305371
130;0.22735824;0.19991662;0.19905654;0.20524443;0.21959612;0.21023439;0.0126211
131;0.22756471;0.19995027;0.19895386;0.20503191;0.21821345;0.20994284;0.012486589
132;0.22514227;0.1991902;0.19838922;0.20381088;0.21711113;0.20872874;0.011850561
133;0.22370493;0.19711671;0.19654836;0.20453893;0.215902;0.207562186;0.011934122
134;0.22405295;0.19780021;0.19451369;0.20236764;0.21435754;0.206618406;0.012310679
135;0.2255418;0.196948;0.19425726;0.20011288;0.21578123;0.206528234;0.013515251
136;0.22190224;0.19509763;0.19155846;0.1997737;0.2151889;0.204704186;0.013182451
137;0.22409611;0.19399103;0.19212823;0.19954349;0.2136819;0.204688152;0.013749581
138;0.22193057;0.22005228;0.18929779;0.19746008;0.21278057;0.208304258;0.014340256
139;0.22019164;0.21075731;0.18762187;0.19669593;0.21209757;0.205472864;0.013078102
140;0.21885421;0.19991773;0.18920021;0.19475914;0.21142135;0.202830528;0.01214473
141;0.21867331;0.19527459;0.18516945;0.19489828;0.20922141;0.200647408;0.013228128
142;0.21598718;0.19184557;0.18516039;0.19490725;0.20940755;0.199461588;0.01279929
143;0.2173913;0.19209395;0.18538556;0.19172172;0.20671834;0.198662174;0.01306964
144;0.21358053;0.18760617;0.1849465;0.19210758;0.20696856;0.197041868;0.01256726
145;0.21298582;0.18909952;0.18062339;0.19186799;0.20520282;0.195955908;0.012983937
146;0.21186652;0.18636378;0.17854292;0.19261772;0.20477713;0.194833614;0.013518768
147;0.21098545;0.1890619;0.17919759;0.18729524;0.20313847;0.19393573;0.012849577
148;0.21115127;0.186108;0.18085829;0.18754286;0.20198581;0.193529246;0.012584852
149;0.20902949;0.18404814;0.17869923;0.18720327;0.20344766;0.192485558;0.013067372
150;0.20627955;0.18349202;0.17781467;0.18605504;0.2001327;0.190754796;0.011950372
151;0.20429914;0.18248159;0.17491304;0.18457636;0.19947405;0.189148836;0.012289827
152;0.20353797;0.17757767;0.17478211;0.18418874;0.19828492;0.187674282;0.012693905
153;0.20428073;0.17830195;0.17334282;0.18067493;0.19645789;0.186611664;0.013129189
154;0.20028924;0.17618715;0.17283656;0.18108904;0.19549713;0.185179824;0.012090287
155;0.20168303;0.17576267;0.16926524;0.17982831;0.19736723;0.184781296;0.014059605
156;0.2002725;0.17351615;0.16668109;0.1794249;0.19404388;0.182787704;0.014045576
157;0.2001414;0.17541922;0.17034985;0.18086645;0.19518558;0.1843925;0.012793233
158;0.20228183;0.1701104;0.16791855;0.17864698;0.19427276;0.182646104;0.015089554
159;0.19951306;0.1689279;0.16891861;0.1775047;0.19179905;0.181332664;0.013808623
160;0.19554613;0.16743276;0.1664828;0.17570287;0.18853998;0.178740908;0.012901574
161;0.19328296;0.16715267;0.16444008;0.17408941;0.19201318;0.17819566;0.013661766
162;0.19266927;0.16845808;0.16259421;0.17380279;0.18905736;0.177316342;0.013049128
163;0.19058565;0.1661177;0.1654266;0.17347369;0.18644745;0.176410218;0.011585421
164;0.19175952;0.16327568;0.16272509;0.17064026;0.18475344;0.174630798;0.013062063
165;0.19216721;0.16352451;0.15763558;0.17022815;0.18301511;0.173314112;0.014148538
166;0.18862737;0.16417186;0.15711853;0.16887316;0.1828683;0.172331844;0.013101086
167;0.18852691;0.16027572;0.15447391;0.16750975;0.18475054;0.171107366;0.014970938
168;0.18648311;0.16024437;0.1547648;0.16698417;0.18216292;0.170127874;0.01374706
169;0.18620784;0.15834465;0.1557676;0.16561357;0.18103059;0.16939285;0.013603069
170;0.18501936;0.1572178;0.15423882;0.16671019;0.18016419;0.168670072;0.013625992
171;0.18275526;0.15682176;0.1507855;0.1625238;0.17846092;0.166269448;0.013815348
172;0.18043938;0.15461278;0.15222474;0.1640966;0.17727041;0.165728782;0.0128277
173;0.17942201;0.15284313;0.14685896;0.16461069;0.17461166;0.16366929;0.013861483
174;0.17974307;0.15104204;0.14732445;0.16058986;0.17592528;0.16292494;0.014507666
175;0.17567696;0.15036236;0.14845745;0.15827763;0.17598647;0.161752174;0.013370348
176;0.17550271;0.14916821;0.14523912;0.15903304;0.17311671;0.160411958;0.013671867
177;0.17363411;0.14844723;0.14609139;0.15766535;0.17242974;0.159653564;0.012962965
178;0.172139;0.14615061;0.14727376;0.15603143;0.17052944;0.158424848;0.012402936
179;0.17006224;0.1456685;0.14219398;0.15688483;0.16944383;0.156850676;0.012971063
180;0.16860399;0.14416782;0.14359936;0.15369115;0.16807428;0.15562732;0.012278655
181;0.16762692;0.14325631;0.14027296;0.15246992;0.16869951;0.154465124;0.013293668
182;0.16977689;0.14367019;0.14084734;0.1504619;0.1665507;0.154261404;0.013212724
183;0.16504855;0.14220925;0.13823706;0.15121784;0.16581435;0.15250541;0.01270544
184;0.16479674;0.14231626;0.13593657;0.14924377;0.16880601;0.15221987;0.014189452
185;0.1645876;0.13937582;0.1355934;0.15012148;0.16414594;0.150764848;0.013513131
186;0.16193295;0.1406767;0.13392514;0.14660816;0.16444974;0.149518538;0.013293428
187;0.15808714;0.13972528;0.13224349;0.14661174;0.16294672;0.147922874;0.012686518
188;0.159649;0.1360551;0.13586391;0.14649537;0.15869415;0.147351506;0.011621
189;0.15743674;0.13415765;0.13223683;0.14447746;0.15800168;0.145262072;0.012289232
190;0.15514754;0.13277581;0.12923753;0.14455857;0.15728715;0.14380132;0.012696885
191;0.15341704;0.13015127;0.12759397;0.14216019;0.15578452;0.141821398;0.012924338
192;0.15301548;0.12740614;0.12736435;0.14054786;0.15837254;0.141341274;0.014287433
193;0.15251343;0.1293403;0.12612398;0.13991916;0.15907964;0.141395302;0.014292165
194;0.15114443;0.1284236;0.12508994;0.14332188;0.15587851;0.140771672;0.013607956
195;0.1500407;0.12776057;0.1224514;0.1384092;0.15247937;0.138228248;0.013239547
196;0.14667329;0.12499197;0.12239376;0.1356637;0.15322343;0.13658923;0.013372072
197;0.14575347;0.12282429;0.12184568;0.13782872;0.15262886;0.136176204;0.013681943
198;0.14522933;0.12408705;0.12253648;0.13881557;0.14938988;0.136011662;0.012202263
199;0.14324113;0.12101597;0.1200547;0.1368908;0.14830173;0.133900866;0.012857896
200;0.14241405;0.12033341;0.12150175;0.13227498;0.14640401;0.13258564;0.011838615
201;0.13987013;0.11612958;0.11989147;0.13141268;0.14725739;0.13091225;0.01311147
202;0.14005304;0.11722958;0.11805995;0.13200803;0.14813813;0.131097746;0.013543548
203;0.13851142;0.11764814;0.11508143;0.13073324;0.1462709;0.129649026;0.013343916
204;0.13652867;0.11402936;0.11373387;0.12852593;0.14441543;0.127446652;0.013598267
205;0.13732188;0.114552;0.11528408;0.12964819;0.14425881;0.128212992;0.013193553
206;0.13442551;0.11304591;0.10989134;0.12561095;0.1405919;0.124713122;0.013257839
207;0.13240916;0.11660938;0.1104684;0.12588884;0.14043944;0.125163044;0.01199478
208;0.13226187;0.11342223;0.10925199;0.12548957;0.1394496;0.123975052;0.012634846
209;0.12928001;0.11364056;0.1087951;0.12333789;0.13811802;0.122634316;0.011798484
210;0.12913518;0.10961791;0.10874588;0.12465224;0.14145366;0.122720974;0.013809226
211;0.12734252;0.10836977;0.11295476;0.12252002;0.14003306;0.122244026;0.012463005
212;0.1262963;0.10448938;0.10990082;0.12080817;0.1345282;0.119204574;0.012152925
213;0.12623837;0.10505279;0.10685434;0.12171913;0.13335998;0.118644922;0.012322825
214;0.12246746;0.10701128;0.1094387;0.11816802;0.13180154;0.1177774;0.010053221
215;0.12323016;0.10476291;0.10365842;0.11725242;0.13356581;0.116493944;0.012646821
216;0.11950553;0.10204466;0.10214815;0.11981003;0.1341066;0.115522994;0.013602772
217;0.11981355;0.101177;0.10156122;0.11775975;0.13415561;0.114893426;0.013868519
218;0.11886225;0.09873397;0.10353573;0.1150505;0.13175502;0.113587494;0.013054574
219;0.11693125;0.10115147;0.10123128;0.11827354;0.12932759;0.113383026;0.01212448
220;0.11533512;0.09956432;0.09816651;0.11402234;0.12660528;0.110738714;0.011901517
221;0.11513084;0.09848418;0.09782673;0.11621999;0.12636992;0.110806332;0.012354552
222;0.11629872;0.09707631;0.09875038;0.11517429;0.12816312;0.111092564;0.013076251
223;0.11149021;0.09864225;0.09763398;0.11317434;0.1286799;0.109924136;0.012679945
224;0.11099823;0.09610071;0.09358449;0.11509568;0.12430496;0.108016814;0.01298642
225;0.10912511;0.09202706;0.09567303;0.11016012;0.12272166;0.105941396;0.012334494
226;0.10933697;0.09268153;0.09538264;0.11119874;0.1214477;0.106009516;0.011904865
227;0.10914444;0.09343455;0.09579226;0.10960461;0.12255497;0.106106166;0.011821378
228;0.10712392;0.09225514;0.09741069;0.10615615;0.12187376;0.104963932;0.011298164
229;0.10446334;0.09139124;0.09334824;0.10481939;0.12223678;0.103251798;0.012279129
230;0.10378465;0.0942035;0.08972303;0.10628745;0.11826381;0.102452488;0.011141862
231;0.10014468;0.08993485;0.08613842;0.10576977;0.11996562;0.100390668;0.013459427
232;0.1013615;0.08865928;0.08860807;0.1042409;0.11659185;0.09989232;0.011762849
233;0.10099663;0.0867354;0.08713469;0.10229099;0.1198439;0.099400322;0.013598621
234;0.10074326;0.0855547;0.0838987;0.10155764;0.11375497;0.097101854;0.01243081
235;0.1005811;0.08513209;0.08261859;0.1011685;0.11342987;0.09658603;0.012717672
236;0.09604597;0.08438346;0.08336383;0.10235741;0.11276283;0.0957827;0.012407578
237;0.09458502;0.08186263;0.08388533;0.09914221;0.11393564;0.094682166;0.012956754
238;0.09548585;0.08201083;0.08408554;0.09775996;0.11086225;0.094040886;0.011648056
239;0.09329158;0.08074043;0.08117044;0.09600934;0.11025911;0.09229418;0.012193878
240;0.09155003;0.08076822;0.08295309;0.09592793;0.10729343;0.09169854;0.010689541
241;0.09067631;0.07888607;0.08137809;0.09627015;0.10978941;0.091400006;0.012444372
242;0.0910208;0.08164288;0.08095498;0.09758615;0.10752047;0.091745056;0.011202526
243;0.08928577;0.0810283;0.08062616;0.09781793;0.10948071;0.091647774;0.012205662
244;0.08708626;0.07768872;0.07898029;0.09461341;0.10740795;0.089155326;0.012270334
245;0.08552398;0.07840478;0.07828089;0.09266147;0.10547315;0.088068854;0.011398208
246;0.08624302;0.07863859;0.07695941;0.09387075;0.10461386;0.088065126;0.011435498
247;0.08463345;0.07745756;0.07762706;0.09067752;0.10336874;0.086752866;0.010789638
248;0.08446722;0.08199912;0.0776178;0.0896402;0.09949277;0.086643422;0.008394249
249;0.08295978;0.07622805;0.0766372;0.08855831;0.10099359;0.085075386;0.010240533
250;0.0807011;0.07380848;0.07706611;0.08852357;0.10072503;0.084164858;0.010757347
251;0.08353407;0.07630322;0.07619091;0.088812;0.10307321;0.085582682;0.011122698
252;0.07828892;0.0724663;0.0755519;0.09024149;0.10101408;0.083512538;0.01187708
253;0.07818532;0.07345323;0.07171531;0.08578794;0.09806363;0.081441086;0.010772658
254;0.08052722;0.0726447;0.07298839;0.08421349;0.09989255;0.08205327;0.011134726
255;0.07950731;0.06829626;0.07021199;0.08418073;0.09742211;0.07992368;0.011768652
256;0.07420554;0.06620998;0.06936339;0.08282604;0.09983183;0.078487356;0.013478923
257;0.07296771;0.06904643;0.06835068;0.08239014;0.09456105;0.077463202;0.011075882
258;0.07563322;0.06889607;0.06672778;0.083689;0.09485163;0.07795954;0.011531263
259;0.07383058;0.06792954;0.06560602;0.08184812;0.09721188;0.077285228;0.012784354
260;0.07153139;0.06601307;0.06738763;0.08124473;0.09588689;0.076412742;0.012409915
261;0.07099875;0.06763927;0.06667856;0.07911903;0.0967824;0.076243602;0.01248142
262;0.07253252;0.06684842;0.06534057;0.07802296;0.09255997;0.075060888;0.010992197
263;0.06864163;0.06644319;0.06429659;0.07819379;0.09027817;0.073570674;0.010742658
264;0.06845179;0.06658682;0.06563168;0.07806399;0.08842636;0.073432128;0.009731266
265;0.06726767;0.06150267;0.06293256;0.0780607;0.08645264;0.071243248;0.010695266
266;0.06623619;0.06231421;0.06361663;0.07636509;0.08741722;0.071189868;0.010615791
267;0.06682678;0.06109991;0.06206898;0.07795423;0.08787959;0.071165898;0.011492769
268;0.06743896;0.06339654;0.0612133;0.07528411;0.08828084;0.07112275;0.010990664
269;0.06397334;0.06069425;0.06157005;0.07458322;0.08896615;0.069957402;0.011986381
270;0.06487152;0.05828231;0.06052756;0.07465657;0.08693029;0.06905365;0.011802258
271;0.06343501;0.05739634;0.06297293;0.07514615;0.08449516;0.068689118;0.010946821
272;0.06194343;0.05810224;0.06172604;0.07477089;0.08388821;0.068086162;0.010865695
273;0.06091091;0.05689891;0.05846368;0.07398197;0.08486447;0.067023988;0.012040163
274;0.06274221;0.05699326;0.05861858;0.07293287;0.08394348;0.06704608;0.01130024
275;0.05921034;0.05659591;0.05864037;0.07000923;0.08308158;0.065507486;0.01112814
276;0.05747057;0.05720625;0.06003001;0.06883422;0.08023542;0.064755294;0.009857174
277;0.05866018;0.0543002;0.0575553;0.06986395;0.08245226;0.064566378;0.011590965
278;0.05783008;0.05332665;0.05559329;0.06855559;0.08155449;0.06337202;0.011721805
279;0.05696715;0.05360399;0.05481448;0.06773795;0.07919091;0.062462896;0.010895347
280;0.05583515;0.05359005;0.05410399;0.06694574;0.08011495;0.062117976;0.011441392
281;0.05689931;0.05227377;0.05345253;0.06714124;0.07799177;0.061551724;0.010895413
282;0.05511731;0.05591686;0.05390664;0.06453675;0.07717249;0.06133001;0.009801449
283;0.05497893;0.05470577;0.05439993;0.06407869;0.07704528;0.06104172;0.009827922
284;0.05359632;0.05249422;0.05426129;0.06365955;0.07544441;0.059891158;0.009774195
285;0.05165323;0.05633219;0.05166999;0.06480942;0.07430894;0.059754754;0.009747898
286;0.05111302;0.05291406;0.04967132;0.06222287;0.0750414;0.058192534;0.010615093
287;0.05209712;0.05313144;0.04907193;0.0627215;0.07615376;0.05863515;0.0110464
288;0.05192043;0.05427295;0.04916872;0.06397492;0.07307108;0.05848162;0.009880801
289;0.05129036;0.05338061;0.05185137;0.06326265;0.07349184;0.058655366;0.009613906
290;0.05141647;0.0506536;0.04916655;0.06175824;0.07319196;0.057237364;0.010214625
291;0.05069625;0.04859027;0.04792934;0.06050099;0.07086209;0.055715788;0.009860352
292;0.04898708;0.04647556;0.04825124;0.06096628;0.07242951;0.055421934;0.011100239
293;0.04912827;0.0453035;0.04856823;0.06131758;0.07180479;0.055224474;0.011089723
294;0.05086027;0.0456374;0.04584503;0.0595501;0.07154392;0.054687344;0.010983226
295;0.05760348;0.04712453;0.04742326;0.05995744;0.0689078;0.056203302;0.009178393
